budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
55000000,58224,en,Mr. Popper's Penguins,32.835777,17/06/2011,187361754,94,Released,Mr. Popper's Penguins,5.7,751
55000000,1729,en,The Forbidden Kingdom,17.097041,18/04/2008,127906624,104,Released,The Forbidden Kingdom,6.3,461
55000000,175574,en,Free Birds,14.414937,30/10/2013,110000000,91,Released,Free Birds,5.7,254
50000000,8077,en,Alien³,45.856409,22/05/1992,159773545,114,Released,Alien³,6.2,1633
55000000,8818,en,Evita,7.027139,14/12/1996,141047179,134,Released,Evita,5.9,120
55000000,8195,en,Ronin,32.657488,25/09/1998,41610884,122,Released,Ronin,6.7,658
50000000,10586,en,The Ghost and the Darkness,12.46525,11/10/1996,75000000,109,Released,The Ghost and the Darkness,6.4,236
55000000,116149,en,Paddington,39.882276,27/11/2014,259207227,95,Released,Paddington,7,883
68000000,80035,en,The Watch,39.395881,26/07/2012,68267862,98,Released,The Watch,5.3,881
55000000,10632,en,The Hunted,8.634954,11/03/2003,34234008,94,Released,The Hunted,6,189
80000000,12117,en,Instinct,7.386394,4/06/1999,0,126,Released,Instinct,6.2,146
55000000,1792,en,Stuck on You,8.802525,10/12/2003,33828318,118,Released,Stuck on You,5.1,188
0,13260,en,Semi-Pro,10.449975,28/02/2008,33472850,91,Released,Semi-Pro,5.4,251
60000000,72197,en,The Pirates! In an Adventure with Scientists!,23.700759,12/03/2012,118338361,88,Released,The Pirates! In an Adventure with Scientists!,6.4,374
55000000,3580,en,Changeling,27.50916,30/01/2008,113020255,141,Released,Changeling,7.3,1131
50000000,12123,en,Chain Reaction,20.58862,2/08/1996,60209334,107,Released,Chain Reaction,5.3,284
55000000,9566,en,The Fan,4.366488,15/08/1996,18626419,116,Released,The Fan,5.7,194
70000000,9833,en,The Phantom of the Opera,18.927463,8/12/2004,154648887,143,Released,The Phantom of the Opera,7,438
55000000,4517,en,Elizabeth: The Golden Age,15.274137,9/09/2007,74237563,114,Released,Elizabeth: The Golden Age,6.6,303
62000000,8202,en,Æon Flux,29.954302,30/11/2005,52304001,93,Released,Æon Flux,5.4,703
56000000,16072,en,Gods and Generals,4.362535,21/02/2003,12923936,214,Released,Gods and Generals,6.1,48
55000000,34314,en,Turbulence,4.700024,9/01/1997,11466088,100,Released,Turbulence,5.2,62
55000000,19724,en,Imagine That,12.340384,19/06/2009,0,107,Released,Imagine That,5.7,134
50000000,145220,en,Muppets Most Wanted,14.808304,20/03/2014,80383290,112,Released,Muppets Most Wanted,6.2,316
57000000,14623,en,Thunderbirds,9.27875,23/07/2004,28283637,95,Released,Thunderbirds,4.2,91
55000000,42297,en,Burlesque,22.863516,23/11/2010,89519773,119,Released,Burlesque,6.9,573
47000000,2841,fr,Un long dimanche de fiançailles,23.05451,26/10/2004,0,133,Released,A Very Long Engagement,7.1,346
2000000,802,en,Lolita,23.962109,13/06/1962,9250000,153,Released,Lolita,7.3,395
55000000,10375,en,D-Tox,12.669778,4/01/2002,6416302,96,Released,D-Tox,5.3,123
54000000,36586,en,Blade II,67.169587,22/03/2002,155010032,117,Released,Blade II,6.2,1528
55000000,11321,en,Seven Pounds,41.472404,18/12/2008,168167691,123,Released,Seven Pounds,7.5,2039
55000000,70074,en,Bullet to the Head,22.503935,31/01/2013,9489829,92,Released,Bullet to the Head,5.2,481
54000000,242,en,The Godfather: Part III,59.194915,24/12/1990,136766062,162,Released,The Godfather: Part III,7.1,1546
57000000,9621,en,Elizabethtown,22.894898,6/10/2005,52034889,123,Released,Elizabethtown,6.1,327
54000000,1819,en,"You, Me and Dupree",18.600367,14/07/2006,130431368,108,Released,"You, Me and Dupree",5.4,407
54000000,8536,en,Superman II,30.515175,4/12/1980,190458706,127,Released,Superman II,6.5,629
54000000,8046,en,Gigli,9.053456,1/08/2003,7266209,121,Released,Gigli,3.5,104
55000000,1717,en,All the King's Men,7.768223,10/09/2006,9450897,125,Released,All the King's Men,5.7,95
46000000,479,en,Shaft,19.643365,15/06/2000,107196498,99,Released,Shaft,5.5,308
53000000,9444,en,Anastasia,45.565918,20/11/1997,139804348,94,Released,Anastasia,7.4,1432
52500000,824,en,Moulin Rouge!,57.374341,9/03/2001,179213434,127,Released,Moulin Rouge!,7.4,1300
75000000,11456,en,Domestic Disturbance,8.41856,30/10/2001,54249294,89,Released,Domestic Disturbance,5.4,113
53000000,261023,en,Black Mass,46.049902,4/09/2015,98837872,122,Released,Black Mass,6.3,1242
90000000,3683,en,Flags of Our Fathers,23.9366,18/10/2006,65900249,132,Released,Flags of Our Fathers,6.7,526
